,Region,Area,Timely sown,Seed,Grain appearance,Hectolitre weight,Protein content,Sedimentation value,Phenol test,Fe content,Zn content,cluster
38,Peninsular Zone (PZ),Niphad,Irrigated Timely Sown,MACS4106(d),6.0,82.3,11.5,33.0,0.0,37.2,40.3,1
39,Peninsular Zone (PZ),Niphad,Irrigated Timely Sown,NIDW1348(d),6.4,83.4,11.3,36.1,0.0,39.6,43.3,0
40,Peninsular Zone (PZ),Niphad,Irrigated Timely Sown,HI8828(d),6.4,84.3,11.4,29.6,0.0,36.0,40.3,1
41,Peninsular Zone (PZ),Niphad,Irrigated Timely Sown,HI8827(d),5.8,83.8,11.2,28.4,0.0,33.9,44.3,0
42,Peninsular Zone (PZ),Pune,Irrigated Late Sown,HD3090 (C),6.4,79.8,12.3,42.7,9.0,40.4,46.9,0
43,Peninsular Zone (PZ),Pune,Irrigated Late Sown,HI1633(I) (C),6.6,81.3,13.8,43.8,7.5,41.5,47.4,0
44,Peninsular Zone (PZ),Pune,Irrigated Late Sown,HD2932 (C),7.0,80.8,13.9,46.1,4.0,38.2,49.0,0
45,Peninsular Zone (PZ),Pune,Irrigated Late Sown,RAJ4083 (C),6.8,80.3,13.6,53.4,8.0,43.2,54.8,0
46,Peninsular Zone (PZ),Pune,Irrigated Late Sown,DBW320,6.8,80.4,12.8,47.3,8.0,43.2,47.9,0
47,Peninsular Zone (PZ),Pune,Irrigated Late Sown,MACS6774,6.8,81.2,12.9,48.8,8.5,43.5,44.7,0
48,Peninsular Zone (PZ),Pune,Irrigated Late Sown,NWS2180#,6.6,81.1,11.9,54.6,8.0,38.2,48.7,0
49,Peninsular Zone (PZ),Pune,Irrigated Late Sown,HI1651,7.0,81.3,13.3,38.0,8.0,46.5,53.2,0
50,Peninsular Zone (PZ),Dharwad,Irrigated Late Sown,HD3090 (C),5.2,75.5,13.0,46.1,9.0,36.2,41.5,1
51,Peninsular Zone (PZ),Dharwad,Irrigated Late Sown,HI1633(I) (C),5.2,78.1,13.5,42.3,8.5,40.0,43.7,0
52,Peninsular Zone (PZ),Dharwad,Irrigated Late Sown,HD2932 (C),5.2,75.4,14.8,53.4,4.5,35.7,42.8,0
53,Peninsular Zone (PZ),Dharwad,Irrigated Late Sown,RAJ4083 (C),5.4,76.9,13.1,55.4,8.5,43.2,39.0,1
54,Peninsular Zone (PZ),Dharwad,Irrigated Late Sown,DBW320,5.4,75.8,13.6,51.5,8.0,39.0,39.1,1
55,Peninsular Zone (PZ),Dharwad,Irrigated Late Sown,MACS6774,5.4,77.0,13.1,57.7,8.5,35.6,34.6,1
56,Peninsular Zone (PZ),Dharwad,Irrigated Late Sown,NWS2180#,5.4,76.5,13.2,57.3,8.0,35.3,39.5,1
57,Peninsular Zone (PZ),Dharwad,Irrigated Late Sown,HI1651,5.4,76.6,12.9,43.0,7.5,46.8,39.2,1
58,Peninsular Zone (PZ),Niphad,Irrigated Late Sown,HD3090 (C),6.0,81.4,10.4,41.9,9.0,35.8,31.5,1
59,Peninsular Zone (PZ),Niphad,Irrigated Late Sown,HI1633(I) (C),6.6,82.6,10.8,41.1,8.0,37.1,34.9,1
60,Peninsular Zone (PZ),Niphad,Irrigated Late Sown,HD2932 (C),6.2,81.4,11.8,47.7,5.0,41.6,39.0,1
61,Peninsular Zone (PZ),Niphad,Irrigated Late Sown,RAJ4083 (C),6.2,82.4,11.1,47.3,8.5,41.5,42.1,0
62,Peninsular Zone (PZ),Niphad,Irrigated Late Sown,DBW320,6.2,82.4,10.6,47.7,8.0,35.7,30.7,1
63,Peninsular Zone (PZ),Niphad,Irrigated Late Sown,MACS6774,6.4,82.0,11.2,51.9,8.5,35.5,29.9,1
64,Peninsular Zone (PZ),Niphad,Irrigated Late Sown,NWS2180#,6.0,82.5,10.2,51.1,8.0,34.0,30.6,1
65,Peninsular Zone (PZ),Niphad,Irrigated Late Sown,HI1651,6.4,82.6,10.5,42.3,8.0,44.2,40.1,1
66,Peninsular Zone (PZ),Pune,Restricted Irrigated Timely Sown,MP1358*,6.8,79.5,13.1,47.7,5.0,37.5,43.5,0
67,Peninsular Zone (PZ),Pune,Restricted Irrigated Timely Sown,HI1605 (C),6.6,80.6,13.1,58.4,4.0,38.1,46.8,0
68,Peninsular Zone (PZ),Pune,Restricted Irrigated Timely Sown,NIAW3170 (C),6.0,78.6,13.8,48.8,7.5,40.9,51.6,0
69,Peninsular Zone (PZ),Pune,Restricted Irrigated Timely Sown,MACS6755,6.2,80.9,12.8,49.6,4.5,37.8,51.0,0
70,Peninsular Zone (PZ),Pune,Restricted Irrigated Timely Sown,MACS6753,6.6,81.1,13.8,47.3,5.0,42.0,50.7,0
71,Peninsular Zone (PZ),Pune,Restricted Irrigated Timely Sown,DBW325,6.2,78.2,12.7,55.4,7.0,39.8,47.3,0
72,Peninsular Zone (PZ),Pune,Restricted Irrigated Timely Sown,UAS3014,5.8,77.4,12.2,47.7,7.0,38.0,47.5,0
73,Peninsular Zone (PZ),Pune,Restricted Irrigated Timely Sown,AKDW2997-16(d) (C),6.6,79.9,12.4,40.0,0.0,34.9,44.9,0
74,Peninsular Zone (PZ),Pune,Restricted Irrigated Timely Sown,NIDW1149(d)(I) (C),6.4,79.0,11.9,32.3,0.0,33.8,49.6,0
75,Peninsular Zone (PZ),Pune,Restricted Irrigated Timely Sown,UAS446(d) (C),6.4,81.3,12.8,43.0,0.0,35.0,47.7,0
76,Peninsular Zone (PZ),Dharwad,Restricted Irrigated Timely Sown,MP1358*,6.4,79.6,12.4,50.7,5.0,38.6,29.9,1
77,Peninsular Zone (PZ),Dharwad,Restricted Irrigated Timely Sown,HI1605 (C),6.4,82.0,11.7,53.4,4.0,39.1,37.5,1
78,Peninsular Zone (PZ),Dharwad,Restricted Irrigated Timely Sown,NIAW3170 (C),5.4,78.0,12.0,48.0,6.5,39.8,35.2,1
79,Peninsular Zone (PZ),Dharwad,Restricted Irrigated Timely Sown,MACS6755,6.2,80.6,12.0,52.3,4.0,43.3,40.9,1
80,Peninsular Zone (PZ),Dharwad,Restricted Irrigated Timely Sown,MACS6753,6.0,80.5,12.8,43.8,4.0,45.3,40.2,1
81,Peninsular Zone (PZ),Dharwad,Restricted Irrigated Timely Sown,DBW325,5.4,78.5,11.4,48.4,6.5,41.0,32.0,1
82,Peninsular Zone (PZ),Dharwad,Restricted Irrigated Timely Sown,UAS3014,5.2,77.3,10.7,49.2,6.5,38.0,31.3,1
83,Peninsular Zone (PZ),Dharwad,Restricted Irrigated Timely Sown,AKDW2997-16(d) (C),5.8,81.3,10.4,39.6,0.0,34.1,35.8,1
84,Peninsular Zone (PZ),Dharwad,Restricted Irrigated Timely Sown,NIDW1149(d)(I) (C),6.0,78.7,12.2,33.8,0.0,39.5,37.9,1
85,Peninsular Zone (PZ),Dharwad,Restricted Irrigated Timely Sown,UAS446(d) (C),7.4,82.2,11.9,44.2,0.0,37.5,34.2,1
86,Peninsular Zone (PZ),Niphad,Restricted Irrigated Timely Sown,MP1358*,6.4,81.9,12.0,48.8,6.5,39.5,37.5,1
87,Peninsular Zone (PZ),Niphad,Restricted Irrigated Timely Sown,HI1605 (C),6.0,83.5,12.4,57.3,6.0,38.8,37.8,1
88,Peninsular Zone (PZ),Niphad,Restricted Irrigated Timely Sown,NIAW3170 (C),5.2,80.6,12.4,52.3,8.0,39.6,34.5,1
89,Peninsular Zone (PZ),Niphad,Restricted Irrigated Timely Sown,MACS6755,6.2,82.9,11.8,49.6,5.0,39.8,36.2,1
90,Peninsular Zone (PZ),Niphad,Restricted Irrigated Timely Sown,MACS6753,6.0,82.5,12.4,45.0,6.0,40.8,36.9,1
91,Peninsular Zone (PZ),Niphad,Restricted Irrigated Timely Sown,DBW325,6.4,80.9,11.6,53.4,8.0,34.9,36.1,1
92,Peninsular Zone (PZ),Niphad,Restricted Irrigated Timely Sown,UAS3014,5.8,80.3,11.8,57.3,8.0,33.0,39.0,1
93,Peninsular Zone (PZ),Niphad,Restricted Irrigated Timely Sown,AKDW2997-16(d) (C),5.6,81.7,11.2,36.9,0.0,33.3,34.1,1
94,Peninsular Zone (PZ),Niphad,Restricted Irrigated Timely Sown,NIDW1149(d)(I) (C),6.0,81.0,11.2,32.3,0.0,36.0,31.4,1
95,Peninsular Zone (PZ),Niphad,Restricted Irrigated Timely Sown,UAS446(d) (C),6.0,82.9,12.4,45.7,0.0,36.9,38.6,1
